"Site ID","Longitude","Latitude","UTM_Easting","UTM_Northing","Location_setting","Avg_PM25","Avg_temperature","Average_ppt_amt","Density_pop","Elevation"
"6792006","-120.6693","35.25651","712034.063317598","3903979.85742744","URBAN AND CENTER CITY","2.32877848214286","48.7","7.99","873.9615479","157"
"6792007","-120.58777","35.04673","720017.079649552","3880885.80969269","RURAL","2.90648071698113","49","7.82","71.84529114","302"
"6798002","-120.66617","35.49453","711695.85796671","3930390.98578357","SUBURBAN","3.18352096428571","44.8","8.89","958.1795654","912"
"6811001","-122.20337","37.482934","570430.801622453","4148745.95954211","SUBURBAN","4.05917889285714","48.7","7.33","2352.709229","62"
"68311","-119.691218","34.427775","804080.087632179","3814555.79049445","URBAN AND CENTER CITY","3.87119567857143","48","10.94","5.926409721","1821"
"6831008","-120.435611","34.942872","734194.36951743","3869710.78967082","URBAN AND CENTER CITY","2.99805135714286","49.3","6.33","1144.631836","220"
"6832004","-120.4575","34.63782","733052.249100509","3835820.06585801","URBAN AND CENTER CITY","1.90057878571429","48.7","6.36","0.404338896","62"
"6832011","-119.8284","34.44551","791406.500674749","3816119.77523408","SUBURBAN","2.22684453571429","49.9","9.3","0.740630269","312"
"6852","-121.574684","36.999571","626823.365077224","4095774.22094532","SUBURBAN","3.975246375","45.8","9.44","0.62184608","686"
"6855","-121.894898","37.348497","597878.676765947","4134106.09860295","URBAN AND CENTER CITY","5.72539015384615","48.5","8.27","4999.494629","167"
"6856","-121.849783","37.338135","601888.645299421","4133004.19749398","URBAN AND CENTER CITY","4.43915101785714","48.6","6.32","5082.440918","118"
"6877","-121.98822","36.98332","590045.17111273","4093500.32251956","SUBURBAN","5.38707694230769","50","13.2","3648.460205","62"
"6871005","-122.083092","37.06315","581516.310549697","4102270.97283292","RURAL","4.25046354545455","43.4","20.38","237.3746338","1437"
"6894","-122.38092","40.55013","552418.128644166","4489003.28639604","SUBURBAN","5.125","44.8","15.88","394.9616089","640"
"6932001","-122.633579","41.726892","530475.552102494","4619518.94104077","SUBURBAN","7.49422228571429","34.8","6.07","15.06692505","3094"
"6954","-122.237976","38.102507","566810.911135467","4217462.64933689","URBAN AND CENTER CITY","6.2942405625","48.3","9.6","122.0525436","279"
"6974","-122.818294","38.403765","515865.441936","4250630.75735241","URBAN AND CENTER CITY","3.25164950943396","46.3","14.42","2221.831787","187"
"6995","-120.994212","37.642165","676964.350007678","4168005.89209749","URBAN AND CENTER CITY","5.27212984745763","48.3","3.37","24.83733368","66"
"6996","-120.836008","37.488317","691317.114332575","4151244.6100091","SUBURBAN","7.63334071428571","48.2","3.87","156.3331604","131"
"61013","-121.618549","39.138773","619390.621721222","4333085.14464686","SUBURBAN","4.775","47.1","10.85","8.888061523","72"
"61037","-122.25556","40.17093","563386.749477147","4446994.69897219","SUBURBAN","4.04039423214286","45.5","10.74","15.27419567","453"
"61072002","-119.291228","36.332179","832925.202483319","4027182.07449858","URBAN AND CENTER CITY","8.44","47.8","3.06","2301.501221","312"
"61117","-118.870509","34.210169","880529.833263346","3793177.34890024","SUBURBAN","4.30513344642857","49.6","6.61","589.717041","797"
"61119","-118.80998","34.404281","885221.549996843","3814950.53911751","RURAL","2.92051746428571","48.5","8.12","1.031550527","807"
"61111004","-119.2313","34.44806","846283.902568539","3818285.41243609","SUBURBAN","3.99754894","46.5","9.79","3.197891712","1109"
"61112002","-118.683685","34.276316","897445.490200568","3801234.75919019","SUBURBAN","4.04018826785714","45.2","8.51","1.237422943","2080"
"61113001","-119.143182","34.25239","855210.962276579","3796876.08230038","RURAL","3.48893283928571","49.1","7.66","0.012340381","643"
"61131003","-121.73269","38.66121","610261.987341774","4279943.64964958","SUBURBAN","2.5","47.6","9.08","0.970052779","49"
